Id,Nivel
1,PLANTA BAJA
2,PLANTA BAJA ALA A
3,PLANTA BAJA ALA B
4,MEZANINE
5,PISO 1
6,PISO 1 ALA A
7,PISO 1 ALA B
8,PISO 2
9,PISO 2 ALA A
10,PISO 2 ALA B
11,PISO 3
12,PISO 3 ALA A
13,PISO 3 ALA B
14,PISO 4
15,PISO 4 ALA A
16,PISO 4 ALA B
17,PISO 5
18,PISO 5 ALA A
19,PISO 5 ALA B
20,PISO 6
21,PISO 6 ALA A
22,PISO 6 ALA B
23,PISO 7
24,PISO 7 ALA A
25,PISO 7 ALA B
26,PISO 8
27,PISO 8 ALA A
28,PISO 8 ALA B
29,PISO 9
30,PISO 9 ALA A
31,PISO 9 ALA B
32,PISO 10
33,PISO 10 ALA A
34,PISO 10 ALA B
35,PISO 11
36,PISO 11 ALA A
37,PISO 11 ALA B
38,PISO 12
39,PISO 12 ALA A
40,PISO 12 ALA B
41,SOTANO 1
